N,West,Mos,East,Vlad,Pet,Kras
1.0,4.2454849579620575,29.1447,2.455185404123591,10.336375,33.079018,29.639435
2.0,7.1748388237464855,46.917133,6.846221825142078,14.203824,25.908484,31.49208
3.0,61.39902700011792,106.78784,11.494889307187076,20.031384,113.97654,30.410067
4.0,43.90662449367446,87.02544,10.749554303203572,22.704885,101.86202,54.17173
5.0,29.304535761295387,70.75601,8.52974051842825,19.942518,73.22522,29.44812
6.0,10.527499872132347,54.701202,2.7821883459130867,12.1387825,45.97803,33.091885
7.0,11.4724914688762,47.169353,3.513843740738482,12.562457,54.776623,34.091892
8.0,32.652430268904695,85.02952,7.50899781198625,16.32968,70.40197,30.071411
9.0,36.17344424475715,72.143585,10.130047993512779,19.028059,67.016335,31.398237
10.0,26.217689034607567,64.1408,9.68996262481538,14.612705,59.64482,48.853287
11.0,16.62681974875688,51.17275,6.219222028572827,13.508716,54.267952,37.411636
12.0,13.87510033410545,58.75894,7.4725803174005,13.76453,57.85621,30.798815
13.0,45.72361484126315,80.785675,9.31315721101283,28.401329,99.507545,14.118997
14.0,46.364189686905995,78.99342,11.569529092531559,22.304897,99.65405,35.169853
15.0,45.84988222450245,92.953094,8.71640490950201,14.490495,73.064095,56.000633
16.0,12.54504317915513,51.93048,4.432051396978211,13.082078,54.384132,33.49346
17.0,9.205020736304396,37.152542,8.350482322617337,15.903525,27.390455,30.573027
18.0,23.28311845643855,65.302475,10.359096317977382,13.720439,52.424145,35.539238
19.0,98.87550121191724,145.50978,12.533569355779234,15.297125,142.6885,76.24649
20.0,37.82965145566679,69.67536,9.582484084417503,24.565998,65.37304,38.66113
21.0,9.969565700593986,44.66786,4.490766313446156,13.688479,42.071922,38.095856
22.0,56.741083969954225,98.89216,10.099949829891141,23.647118,130.75642,34.637997
23.0,52.262042282076344,104.78723,11.99762386190436,22.792204,81.59103,58.722733
24.0,78.79827186404012,135.81902,11.936843462194531,18.17258,103.16322,56.613445
25.0,69.07362697774174,96.95081,10.347173191214829,21.270245,134.41954,41.971878
26.0,12.298912177718487,50.115044,3.610186625325903,13.517938,51.335564,33.00564
27.0,10.422873077826532,32.824924,7.20307498315518,19.617542,36.93885,36.31568
28.0,28.859417423015525,50.265617,9.456745797829837,18.416302,74.53055,34.74833
29.0,69.86696034237579,110.558174,11.329648923120732,18.481737,134.52284,38.84687
30.0,97.02319079604146,146.7799,9.84648163232985,13.422178,146.23605,23.095158
31.0,17.24042899310418,63.612095,2.4171339986640303,12.0341,50.154713,39.501213
32.0,13.746072495798579,54.284653,8.438988198127811,13.066771,30.053843,39.920753
33.0,47.05707605035184,101.79892,10.515468888714826,12.633398,63.260822,34.59015
34.0,85.65256176800419,113.914276,13.579109382412028,13.607263,149.64981,28.195723
35.0,57.297192384921196,64.53625,13.433154047728372,12.265795,117.49702,27.393381
36.0,20.973371944361556,55.887268,6.627148568891608,11.372206,69.35197,34.452305
37.0,20.27157607970137,52.62752,9.463418032856104,15.826028,59.310623,38.15279
38.0,32.511460885993216,55.126247,13.379059341776385,15.757146,61.217213,34.228165
39.0,40.42729033908403,59.25762,13.995341185065225,16.981236,66.4694,35.27208
40.0,42.27161699419144,71.69164,12.103146225826402,19.096502,59.489216,38.528797
41.0,17.45987346666544,46.87794,3.8600240100159686,12.308236,52.848877,35.500423
42.0,28.327431357118016,65.32373,8.541518068424413,16.097046,55.961067,38.80278
43.0,52.70091013879272,87.4626,9.617997812612327,15.454692,98.475685,42.83999
44.0,146.33813380038347,172.36778,15.968534926739109,24.413452,139.00076,117.97707
45.0,191.19448322338096,218.00058,13.18003063821486,20.471035,179.32271,73.65813
46.0,24.461390056660836,70.11643,3.5225112376711527,12.808227,69.35849,38.206467
47.0,24.106836815554388,52.685905,10.28935068006261,12.701282,65.49027,39.817028
48.0,156.23452736083286,156.57144,13.510517808059596,21.31201,196.26265,40.390636
49.0,132.58663031926417,108.67564,17.23289053276776,17.187061,176.49744,57.722626
50.0,108.77225467224281,139.12592,15.099728361754412,15.946678,140.65024,18.884024
51.0,19.260717084739035,53.4158,4.19399240809274,12.869918,59.641235,38.82149
52.0,66.92537952445869,106.75474,13.598561137417434,14.731067,50.29828,39.12066
53.0,97.98813550698638,141.84502,15.430337145926465,29.23398,43.348286,45.096043
54.0,54.277276286221145,74.30004,14.576636221957234,19.769691,40.62738,44.4291
55.0,167.22604655772565,196.04655,16.464741731711968,17.51116,152.38086,51.99939
56.0,21.55499908251506,40.533176,3.569841727638913,14.8114805,66.05031,44.310192
