Vlad,Kras
6.7198615,30.11915
9.309347,28.763075
10.336375,29.639435
14.203824,31.49208
20.031384,30.410067
22.704885,54.17173
19.942518,29.44812
19.982683,27.771425
10.048432,29.50441
12.092498,29.503984
12.1387825,33.091885
12.562457,34.091892
16.32968,30.071411
19.028059,31.398237
14.612705,48.853287
12.763512,36.236515
12.527526,39.039062
11.823595,33.794033
13.508716,37.411636
13.76453,30.798815
28.401329,14.118997
22.304897,35.169853
14.490495,56.000633
14.12307,37.37558
11.641255,39.921944
12.721703,35.46015
13.082078,33.49346
15.903525,30.573027
13.720439,35.539238
15.297125,76.24649
24.565998,38.66113
13.864478,38.539337
12.580246,39.705193
11.728769,37.14709
13.688479,38.095856
23.647118,34.637997
22.792204,58.722733
18.17258,56.613445
21.270245,41.971878
12.900538,38.83152
10.803825,42.930065
12.199611,36.43698
13.517938,33.00564
19.617542,36.31568
18.416302,34.74833
18.481737,38.84687
13.422178,23.095158
21.821991,40.171684
9.370121,41.11147
11.651364,35.703827
12.0341,39.501213
13.066771,39.920753
12.633398,34.59015
13.607263,28.195723
12.265795,27.393381
12.191323,43.75748
11.633801,39.735867
10.656693,34.53944
11.372206,34.452305
15.826028,38.15279
15.757146,34.228165
16.981236,35.27208
19.096502,38.528797
12.750066,36.720715
10.520284,32.32748
9.38788,36.27926
12.308236,35.500423
16.097046,38.80278
15.454692,42.83999
24.413452,117.97707
20.471035,73.65813
12.588988,49.878162
12.092664,37.91492
11.18023,40.272114
12.808227,38.206467
12.701282,39.817028
21.31201,40.390636
17.187061,57.722626
15.946678,18.884024
12.791836,41.376785
14.565218,44.595646
11.507157,40.93666
12.869918,38.82149
14.731067,39.12066
29.23398,45.096043
19.769691,44.4291
17.51116,51.99939
